4K专区,#genre#
山东教育卫视,http://60.4.28.155:8077/rtp/239.253.92.106:6135
沧州公共,http://60.4.28.155:8077/rtp/239.253.92.122:6016
睛彩河北,http://121.29.215.217:2083/rtp/239.253.92.104:6221
天津卫视,http://121.29.215.217:2083/rtp/239.253.92.91:8021
承德新闻综合,http://121.29.215.217:2083/rtp/239.253.92.222:8112
唐山新闻综合,http://121.29.215.217:2083/rtp/239.253.92.245:6089
保定公共频道,http://121.29.215.217:2083/rtp/239.253.93.4:6157
魏县综合新闻,http://121.29.215.217:2083/rtp/239.253.93.185:6353
涉县新闻综合,http://121.29.215.217:2083/rtp/239.253.93.106:6273
河南文物宝库,http://121.29.215.217:2083/rtp/239.253.93.180:6437
丰宁综合,http://121.29.215.217:2083/rtp/239.253.93.210:6388
陕西体育休闲,http://124.114.101.179:6789/rtp/239.111.205.36:5140
甘肃卫视,http://39.77.95.74:4002/rtp/239.253.254.74:8000
新疆卫视,http://pplee.vicp.net:4022/udp/233.18.204.220:5140
宁夏卫视,http://pplee.vicp.net:4022/udp/233.18.204.230:5140
西藏卫视,http://pplee.vicp.net:4022/udp/233.18.204.222:5140
香港卫视,https://stream1.freetv.fun/c751876ae5ceaa0d82b5cf2badc152342aa92a4b45bf504d12ee45966b2fc644.ctv
广东珠江,https://iptv.catvod.com/catvod?id=%E5%B9%BF%E4%B8%9C%E7%8F%A0%E6%B1%9F&line=2
广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-27.ctv
广东民生,https://stream1.freetv.fun/yan-dong-min-sheng-35.ctv
广州综合,https://stream1.freetv.fun/yan-zhou-zong-he-19.ctv
江门综合,https://stream1.freetv.fun/jiang-men-zong-he-7.ctv
佛山综合,https://stream1.freetv.fun/fo-shan-zong-he-7.ctv
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-6.ctv
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-9.ctv
浙江经济生活,https://t.freetv.fun/live/zhe-jiang-jing-ji-sheng-huo-2.m3u8
